127.0.0.1 - - [23/Sep/2014:00:10:28 -0700] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1%0 - - [23/Sep/2014:00:10:29 -0700] "GET /ShopOnline/WEB-INF/classes/com/gaogao/bussiness/user/dao/NewsJdbcDaolmpl.java HTTP/1.1" 404 949
0:0:0:0:0:0:0:1%0 - - [23/Sep/2014:00:11:04 -0700] "GET /ShopOnline/ HTTP/1.1" 200 5541
0:0:0:0:0:0:0:1%0 - - [23/Sep/2014:00:11:04 -0700] "GET /ShopOnline/css/style.css HTTP/1.1" 200 47066
0:0:0:0:0:0:0:1%0 - - [23/Sep/2014:00:11:04 -0700] "GET /ShopOnline/css/slider.css HTTP/1.1" 200 948
0:0:0:0:0:0:0:1%0 - - [23/Sep/2014:00:11:04 -0700] "GET /ShopOnline/css/menu.css HTTP/1.1" 200 5652
0:0:0:0:0:0:0:1%0 - - [23/Sep/2014:00:11:04 -0700] "GET /ShopOnline/js/move-top.js HTTP/1.1" 200 1330
0:0:0:0:0:0:0:1%0 - - [23/Sep/2014:00:11:04 -0700] "GET /ShopOnline/js/easing.js HTTP/1.1" 200 4759
0:0:0:0:0:0:0:1%0 - - [23/Sep/2014:00:11:04 -0700] "GET /ShopOnline/js/jquery-1.7.2.min.js HTTP/1.1" 200 94844
0:0:0:0:0:0:0:1%0 - - [23/Sep/2014:00:11:04 -0700] "GET /ShopOnline/js/nav.js HTTP/1.1" 200 4366
0:0:0:0:0:0:0:1%0 - - [23/Sep/2014:00:11:04 -0700] "GET /ShopOnline/js/nav-hover.js HTTP/1.1" 200 1154
0:0:0:0:0:0:0:1%0 - - [23/Sep/2014:00:11:04 -0700] "GET /ShopOnline/images/logo.png HTTP/1.1" 200 6236
0:0:0:0:0:0:0:1%0 - - [23/Sep/2014:00:11:04 -0700] "GET /ShopOnline/images/header_cart.png HTTP/1.1" 200 1236
0:0:0:0:0:0:0:1%0 - - [23/Sep/2014:00:11:04 -0700] "GET /ShopOnline/images/header_arrow.png HTTP/1.1" 200 176
0:0:0:0:0:0:0:1%0 - - [23/Sep/2014:00:11:04 -0700] "GET /ShopOnline/images/gradient_light-1.png HTTP/1.1" 200 125
0:0:0:0:0:0:0:1%0 - - [23/Sep/2014:00:11:04 -0700] "GET /ShopOnline/images/body_bg3.jpg HTTP/1.1" 200 9374
0:0:0:0:0:0:0:1%0 - - [23/Sep/2014:00:11:04 -0700] "GET /ShopOnline/images/login.png HTTP/1.1" 200 2951
0:0:0:0:0:0:0:1%0 - - [23/Sep/2014:00:11:04 -0700] "GET /ShopOnline/images/icon-4.png HTTP/1.1" 200 2473
0:0:0:0:0:0:0:1%0 - - [23/Sep/2014:00:11:04 -0700] "GET /ShopOnline/images/icon-3.png HTTP/1.1" 200 2564
0:0:0:0:0:0:0:1%0 - - [23/Sep/2014:00:11:04 -0700] "GET /ShopOnline/images/icon-2.png HTTP/1.1" 200 2187
0:0:0:0:0:0:0:1%0 - - [23/Sep/2014:00:11:04 -0700] "GET /ShopOnline/images/icon-1.png HTTP/1.1" 200 2401
